zh_TW,zh-CN,en-EN,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
請輸入身分證上的名字,请输入身分证上的名字,"Please enter the name on the 
identity card","กรุณากรอกชื่อในไฟล์
บัตรประจำตัวประชาชน",39,43,IDカードに名前を入力してください,17,10,ID 카드에 이름을 입력하십시오,17,10,"Vui lòng nhập tên trên
thẻ danh tính",36,43,personalVerify.realNameHint
(可多選),(可多选),(Multiple choice),(ปรนัย),7,17,（複数の選択肢）,8,5,(다중 선택),7,5,(Nhiều lựa chọn),16,17,personalVerify.sourceIncomeSubTitle
驗證電話,,,,,,,,,,,,,,,phoneBind.appBarTitle
已成功綁定電話,,,,,,,,,,,,,,,phoneBind.bindSuccess
平倉成功,,,,,,,,,,,,,,,"positionDetail.closePositionSuccess,positions.closePositionSuccess"
平倉手數超過持有手數,,,,,,,,,,,,,,,positionDetail.closePositionLotsOutRange
確認平倉,,,,,,,,,,,,,,,positionDetail.confirmClosePosition
平倉,平仓,close the position,ปิดตำแหน่ง,10,18,液体,2,2,액체,2,2,Đóng vị trí,11,18,"positionDetail.closePosition,positions.closePosition,agentFundingDetails.closePositionButton"
開倉數量,,,,,,,,,,,,,,,positionDetail.openPositionLots
開倉價格,开仓价格,Opening price,ราคาเปิด,8,13,オープニング価格,8,4,오프닝 가격,6,4,Giá mở,6,13,"positionDetail.openPriceTitle,transactionHistoryDetail.openPositionPriceTitle,agentFundingPositionsDetail.openingPriceTitle"
平倉數量,平仓数量,Number of liquidation,จำนวนการชำระบัญชี,17,21,清算の数,4,4,청산 수,4,4,Số lượng thanh lý,17,21,positionDetail.closePositionLots
(可輸入數量 {range}),,,,,,,,,,,,,,,positionDetail.lotsInputTip
開倉,开仓,Open warehouse,คลังสินค้าเปิด,14,14,倉庫を開きます,7,2,오픈 창고,5,2,Hàng mở,7,14,"positionDetail.openPositionChartTag,agentFundingDetails.openPositionButton"
"持倉異動, 請重新進入",,,,,,,,,,,,,,,positionDetail.positionChanged
現價,,,,,,,,,,,,,,,positionDetail.lastPriceChartTag
讀取中,,,,,,,,,,,,,,,"positionDetail.marginLoading,positionDetail.maintenanceMarginLoading,positionDetail.feeLoading"
--,,,,,,,,,,,,,,,positionDetail.rolloverEmpty
開倉價值,开仓价值,Open position value,เปิดค่าตำแหน่ง,14,19,オープンポジション値,10,4,열린 위치 값,7,4,Giá trị vị trí mở,17,19,"positionDetail.openPositionValue,transactionHistoryDetail.openPositionValue"
修改持倉單,修改持仓单,Modify the warehouse,ปรับเปลี่ยนคลังสินค้า,21,20,倉庫を変更します,8,5,창고를 수정하십시오,10,5,Sửa đổi kho,11,20,positionModify.appBarTitle
部份單號平倉失敗!,,,,,,,,,,,,,,,positionModify.closeMultiPositionPartialFailTitle
查無此單號,,,,,,,,,,,,,,,positionModify.errorClosePositionFindNoSerial
當前非交易時段,,,,,,,,,,,,,,,"positionModify.errorNotTradingTime,requestError.notTradingTime"
該品項暫時無法交易,,,,,,,,,,,,,,,"positionModify.errorFuturesNotTradingTime,requestError.quotaUpdateOutTime"
未知錯誤({code}),,,,,,,,,,,,,,,positionModify.errorGeneralCode
重置,重置,Reset,รีเซ็ต,6,5,差し押さえ,5,2,repossess,9,2,Cài lại,7,5,positions.resetSelect
批量平倉,,,,,,,,,,,,,,,positions.closeMultiPosition
交易手數超過持有手數,,,,,,,,,,,,,,,positions.closePositionLotsOutRange
確定平倉,,,,,,,,,,,,,,,positions.isConfirmClosePosition
請先上傳信件照片,,,,,,,,,,,,,,,proveIdVerify.errorLetterEmpty
請先上傳帳單照片,,,,,,,,,,,,,,,proveIdVerify.errorBillEmpty
信件,,,,,,,,,,,,,,,proveIdVerify.letterTypeTitle
帳單,帐单,bill,ใบแจ้งหนี้,10,4,明細書,3,2,청구서,3,2,hóa đơn thanh toán,18,4,proveIdVerify.billTypeTitle
證明身份,证明身份,Proof,การพิสูจน์,10,5,証拠,2,4,증거,2,4,Bằng chứng,10,5,proveIdVerify.typeSelectTitle
點擊上傳或拍攝信件,,,,,,,,,,,,,,,proveIdVerify.uploadLetterTitle
點擊上傳或拍攝帳單,,,,,,,,,,,,,,,proveIdVerify.uploadBillTitle
步驟3 - 證明身份(3/4),,,,,,,,,,,,,,,proveIdVerify.stepHeaderTitle
暫無資料,,,,,,,,,,,,,,,"qa.emptyTip,agentProfitList.emptyTip,agentProfitSharing.emptyTip,agentProfitSharingSearch.emptyTip,agentUserProfitSharingFormList.emptyTip,agentReferralCode.emptyTip,agentReferralCodeSearch.emptyTip,agentReferralCodeList.emptyTip,editAgentReferralCode.emptyTip,agentTransactionSettingList.emptyTip"
無法找到想要的解答？,,,,,,,,,,,,,,,qa.noFindQaTip1
請聯絡我們,,,,,,,,,,,,,,,qa.noFindQaTip2
輸入搜索條件,,,,,,,,,,,,,,,qaSearch.searchHint
搜索結果,,,,,,,,,,,,,,,qaSearch.searchResult
請輸入搜索條件,,,,,,,,,,,,,,,qaSearch.searchTextEmptyTip
搜索無資料,,,,,,,,,,,,,,,qaSearch.searchResultEmptyTip
輸入推薦碼,输入推荐码,Enter recommendation code,ป้อนรหัสคำแนะนำ,15,25,推奨コードを入力します,11,5,추천 코드를 입력하십시오,13,5,Nhập mã đề xuất,15,25,referralCodeBind.appBarTitle
請輸入推薦碼,,,,,,,,,,,,,,,referralCodeBind.inputHint
"推薦碼將會影響您的帳號獎勵
以及交易費用的相關折扣。
輸入後將無法更改，請確認代
理或朋友提供給您的推薦碼是
否正確再輸入。","推荐码将会影响您的帐号奖励
以及交易费用的相关折扣。
输入后将无法更改，请确认代
理或朋友提供给您的推荐码是
否正确再输入。","The recommendation code will affect your account reward
And related discounts of transaction costs.
It will not be changed after input, please confirm the generation
The recommendation code provided by the reason or a friend is
Whether to enter it correctly.","รหัสคำแนะนำจะส่งผลต่อรางวัลบัญชีของคุณ
และส่วนลดที่เกี่ยวข้องของค่าใช้จ่ายในการทำธุรกรรม
มันจะไม่เปลี่ยนแปลงหลังจากอินพุตโปรดยืนยันการสร้าง
รหัสคำแนะนำที่ได้รับจากเหตุผลหรือเพื่อนคือ
ไม่ว่าจะป้อนอย่างถูกต้อง",207,258,"推奨コードは、アカウントの報酬に影響します
取引コストの関連する割引。
入力後に変更されません。世代を確認してください
理由または友人によって提供される推奨コードは
正しく入力するかどうか。",95,62,"추천 코드는 귀하의 계정 보상에 영향을 미칩니다
거래 비용의 관련 할인.
입력 후에 변경되지 않습니다. 생성을 확인하십시오.
이유 또는 친구가 제공하는 추천 코드는
올바르게 입력할지 여부.",105,62,"Mã đề xuất sẽ ảnh hưởng đến phần thưởng tài khoản của bạn
Và giảm giá liên quan của chi phí giao dịch.
Nó sẽ không được thay đổi sau khi đầu vào, vui lòng xác nhận thế hệ
Mã khuyến nghị được cung cấp bởi lý do hoặc một người bạn là
Có nên nhập chính xác không.",260,258,referralCodeBind.descriptionText
成就獎勵領取僅限「真實賬戶」交易行為,,,,,,,,,,,,,,,"referralCodeShare.headerTip,achievementsLevel.rewardTip"
推薦朋友 共同獲利,推荐朋友 共同获利,Recommend friends to profit together,แนะนำเพื่อนเพื่อทำกำไรด้วยกัน,29,36,一緒に利益を得るように友達をお勧めします,20,9,친구들이 함께 이익을 추천합니다,17,9,Đề nghị bạn bè cùng nhau lợi nhuận,34,36,referralCodeShare.shareFriendTitle
交易越多賺越多，推薦好友投資，即可獲得獎勵唷,交易越多赚越多，推荐好友投资，即可获得奖励唷,"The more transactions, the more you earn, and you can get a reward when you recommend your friends to invest",ยิ่งธุรกรรมมากเท่าไหร่คุณก็จะได้รับรางวัลมากขึ้นและคุณจะได้รับรางวัลเมื่อคุณแนะนำให้เพื่อนลงทุน,95,108,トランザクションが多いほど、稼ぐことが多くなり、友達に投資をお勧めすると報酬を得ることができます,48,22,거래가 많을수록 더 많은 돈을 벌고 친구가 투자하도록 추천 할 때 보상을받을 수 있습니다.,50,22,"Càng nhiều giao dịch, bạn càng kiếm được nhiều tiền và bạn có thể nhận được phần thưởng khi bạn giới thiệu bạn bè của mình để đầu tư",132,108,referralCodeShare.shareFriendSubtitle
發送連結邀請,发送连结邀请,Send link invitation,ส่งคำเชิญลิงค์,14,20,リンクの招待状を送信します,13,6,링크 초대를 보내십시오,12,6,Gửi lời mời liên kết,20,20,referralCodeShare.sendInviteLink
社群分享,社群分享,Community sharing,การแบ่งปันชุมชน,15,17,コミュニティの共有,9,4,커뮤니티 공유,7,4,Chia sẻ cộng đồng,17,17,referralCodeShare.communityShareTitle
已複製至剪貼板,,,,,,,,,,,,,,,"referralCodeShare.copyToClipboardSuccess,copyButton.copyToClipboardSuccess"
漲跌顏色,,,,,,,,,,,,,,,setting.upDownColorTitle
通知設定,,,,,,,,,,,,,,,setting.notifySettingTitle
檢查更新,,,,,,,,,,,,,,,setting.checkUpdateTitle
當前版本,,,,,,,,,,,,,,,setting.currentVersionTitle
清理緩存,,,,,,,,,,,,,,,setting.clearCacheTitle
清除快取失敗,,,,,,,,,,,,,,,setting.errorClearCacheFail
綠漲紅跌,,,,,,,,,,,,,,,"setting.upGreenDownRed,upDownColorSetting.upGreenDownRed"
紅漲綠跌,,,,,,,,,,,,,,,"setting.upRedDownGreen,upDownColorSetting.upRedDownGreen"
已是最新版本,,,,,,,,,,,,,,,setting.versionIsNewest
已清理 {size} MB,,,,,,,,,,,,,,,setting.clearCacheToast
尚無緩存需要清理,,,,,,,,,,,,,,,setting.noCacheNeedClean
尚無紀錄,,,,,,,,,,,,,,,transactionHistory.emptyTip
平倉時間,平仓时间,Positioning time,เวลาวางตำแหน่ง,14,16,ポジショニング時間,9,4,포지셔닝 시간,7,4,Thời gian định vị,17,16,"transactionHistory.closePositionTime,agentFundingDetails.filterPopup.closingTimeTitle,agentFundingPositionsDetail.closingTimeTitle"
開始時間,,,,,,,,,,,,,,,transactionHistory.dateRangeStartDefault
結束時間,,,,,,,,,,,,,,,transactionHistory.dateRangeEndDefault
平倉價格,,,,,,,,,,,,,,,"transactionHistoryDetail.closePositionPriceTitle,agentFundingPositionsDetail.closingPriceTitle"
平倉淨盈虧,,,,,,,,,,,,,,,transactionHistoryDetail.netProfitLoss
平倉價值,,,,,,,,,,,,,,,transactionHistoryDetail.closePositionValue
升跌顏色,,,,,,,,,,,,,,,upDownColorSetting.appBarTitle
用戶協議,,,,,,,,,,,,,,,userProtocol.appBarTitle
餘額,,,,,,,,,,,,,,,withdraw.balanceTitle
全部取出,,,,,,,,,,,,,,,withdraw.withdrawAll
提交申請中,,,,,,,,,,,,,,,withdrawBank.withdrawRequestSending
提交出金申請,,,,,,,,,,,,,,,withdrawBank.withdrawButton
相關提示:,,,,,,,,,,,,,,,withdrawBank.tipTitle
"客戶出金所指定之帳號，必需是開戶時所指定之出金銀行帳號。
電子交易系統之線上出金申請時間為每個營業日上午8：00~14：00",,,,,,,,,,,,,,,withdrawBank.tipContent
出金申請完成,出金申请完成,Application for money to complete,แอปพลิเคชันเพื่อเงินให้เสร็จสมบูรณ์,35,33,完了するためのお金の申請,12,6,완료 할 돈 신청,9,6,Đơn xin tiền để hoàn thành,26,33,withdrawBank.completeTitle
"審核預計會需要 3-5 個工作天。
通過後，您將會收到資金轉帳通知。",,,,,,,,,,,,,,,withdrawBank.completeContent
已完成申請,,,,,,,,,,,,,,,withdrawBank.completeButton
額度,额度,Quota,โควต้า,6,5,クォータ,4,2,몫,1,2,Hạn ngạch,9,5,withdrawBank.pricePrefix
請選擇出金方法,请选择出金方法,Please select the gold method,โปรดเลือกวิธีทองคำ,18,29,ゴールドメソッドを選択してください,17,7,금 방법을 선택하십시오,12,7,Vui lòng chọn phương pháp vàng,30,29,withdrawMethod.appBarTitle
"24 小時內出金次數已達上限<1></1>
請於 24 小時後再次提交申請。","24 小时内出金次数已达上限<1></1>
请于 24 小时后再次提交申请。","The number of gold issues within 24 hours has reached the upper limit <1> </1>
Please submit the application again after 24 hours.","จำนวนปัญหาทองคำภายใน 24 ชั่วโมงถึงขีด จำกัด บน <1> </1>
กรุณาส่งใบสมัครอีกครั้งหลังจาก 24 ชั่วโมง",97,130,"24時間以内の金の問題の数は上限<1> </1>に達しました
24時間後にもう一度申請書を提出してください。",54,38,"24 시간 이내에 금 문제의 수가 상한에 도달했습니다 <1> </1>
24 시간 후에 신청서를 다시 제출하십시오.",63,38,"Số lượng vấn đề vàng trong vòng 24 giờ đã đạt đến giới hạn trên <1> </1>
Vui lòng nộp đơn đăng ký lại sau 24 giờ.",113,130,withdrawMethod.withdrawLimitTip
"目前不是出金時間
請於以下時段再次申請出金","目前不是出金时间
请于以下时段再次申请出金","It's not the time for gold
Please apply for money again in the following period","ไม่ใช่เวลาสำหรับทองคำ
กรุณาสมัครเงินอีกครั้งในช่วงเวลาต่อไปนี้",62,79,"金の時ではありません
次の期間にもう一度お金を申請してください",31,21,"금을위한 시간이 아닙니다
다음 기간에 다시 돈을 신청하십시오",33,21,"Đó không phải là lúc cho vàng
Vui lòng nộp đơn xin tiền một lần nữa trong khoảng thời gian sau",94,79,withdrawMethod.notWithdrawTimeTip
出金方式,出金方式,Golden way,ทางสีทอง,8,10,ゴールデンウェイ,8,4,골든 웨이,5,4,Cách vàng,9,10,withdrawMethod.bankMethodTitle
其餘出金方式,,,,,,,,,,,,,,,withdrawMethod.otherMethodTitle
如欲申請資產出金，請切換回用戶模式進行申請。,,,,,,,,,,,,,,,withdrawMethod.agentModeTip
審核中的出金申請,,,,,,,,,,,,,,,withdrawMethod.auditListTitle
"{number}
額度：{unit} {value}     日期：{date}",,,,,,,,,,,,,,,withdrawMethod.auditMethodBankSubtitle
"
您沒有任何出金帳戶，請前往申請出金帳戶並認證後，再次申請出金。","
您没有任何出金帐户，请前往申请出金帐户并认证后，再次申请出金。","
You do n’t have any account account, please go to apply for a gold account and certify before applying for money again.","
คุณไม่มีบัญชีบัญชีใด ๆ โปรดไปสมัครบัญชีทองคำและรับรองก่อนที่จะสมัครเงินอีกครั้ง",80,120,"
アカウントアカウントはありません。ゴールドアカウントを申請して、再び申請する前に認定してください。",50,32,"
귀하는 계정 계정이 없습니다. 금 계좌를 신청하고 다시 신청하기 전에 인증을 받으십시오.",50,32,"
Bạn không có tài khoản nào, vui lòng đăng ký tài khoản vàng và chứng nhận trước khi đăng ký tiền.",98,120,withdrawMethod.methodEmptyTip
前往申請出金帳戶,前往申请出金帐户,Go to apply for withdrawal account,ไปสมัครบัญชีการถอนเงิน,22,34,ゴールドアカウントを申請します,15,8,금 계좌를 신청하십시오,12,8,Đi để đăng ký tài khoản rút tiền,32,34,withdrawMethod.methodEmptyButton
今日不再通知,,,,,,,,,,,,,,,marginLevelWarningPopup.todayNoNotify
保證金比例,,,,,,,,,,,,,,,marginLevelWarningPopup.marginLevel
保證金比例風險過高,,,,,,,,,,,,,,,marginLevelWarningPopup.warningReason
暫不更新,,,,,,,,,,,,,,,updateVersionPopup.ignoreThisTime
全面更新,,,,,,,,,,,,,,,updateVersionPopup.newVersionTitle
版本,,,,,,,,,,,,,,,updateVersionPopup.newVersionPrefix
發現新版本,,,,,,,,,,,,,,,updateVersionPopup.foundNewVersion
下載中,,,,,,,,,,,,,,,updateVersionPopup.downloading
立即更新,,,,,,,,,,,,,,,updateVersionPopup.updateImmediately
可用餘額,可用余额,Available Balance,ยอดเงินคงเหลือ,14,17,利用可能残高,6,4,사용 가능한 잔액,9,4,Số dư có sẵn,12,17,"walletAssetsPopup.availableBalance,futuresMarketContent.availableBalance,agentUsersDetail.availableBalance"
發送驗證碼,,,,,,,,,,,,,,,captchaButton.sendPhoneCode
複製,复制,copy,สำเนา,5,4,コピー,3,2,복사,2,2,sao chép,8,4,"copyButton.title,agentReferralCodeList.copyButton,agentFundingPositionsDetail.copyButton"
區碼,,,,,,,,,,,,,,,dialCodeContainer.hint
資料為空,,,,,,,,,,,,,,,"emptyPlace.tip,requestError.dataEmpty"
最多可選 {max} 項,,,,,,,,,,,,,,,checkboxInputContainer.reachMaxToast
最少需選 {min} 項,,,,,,,,,,,,,,,checkboxInputContainer.reachMinToast
微信或LINE ID欄位須擇一填寫,,,,,,,,,,,,,,,"errorInputValidator.userLineEmpty,errorInputValidator.userWechatEmpty"
Line Id格式有誤,,,,,,,,,,,,,,,errorInputValidator.userLineFormat
微信格式有誤,,,,,,,,,,,,,,,errorInputValidator.userWechatFormat
代號不得為空,,,,,,,,,,,,,,,errorInputValidator.bankCodeEmpty
代號格式錯誤,,,,,,,,,,,,,,,errorInputValidator.bankCodeFormat
帳號不得為空,,,,,,,,,,,,,,,errorInputValidator.bankAccountEmpty
帳號格式有誤,,,,,,,,,,,,,,,errorInputValidator.bankAccountFormat
戶名不得為空,,,,,,,,,,,,,,,errorInputValidator.bankUsernameEmpty
戶名格式有誤,,,,,,,,,,,,,,,errorInputValidator.bankUsernameFormat
Email格式錯誤,,,,,,,,,,,,,,,errorInputValidator.emailFormat
Email不得為空,,,,,,,,,,,,,,,errorInputValidator.emailEmpty
手機號不得為空,,,,,,,,,,,,,,,errorInputValidator.phoneEmpty
手機號格式有誤,,,,,,,,,,,,,,,errorInputValidator.phoneFormat
密碼格式錯誤,,,,,,,,,,,,,,,errorInputValidator.passwordFormat
密碼不得為空,,,,,,,,,,,,,,,errorInputValidator.passwordEmpty
驗證碼格式錯誤,,,,,,,,,,,,,,,errorInputValidator.captchaFormat
驗證碼不得為空,,,,,,,,,,,,,,,errorInputValidator.captchaEmpty
推薦碼不得為空,,,,,,,,,,,,,,,errorInputValidator.referralCodeEmpty
推薦碼格式有誤,,,,,,,,,,,,,,,errorInputValidator.referralCodeFormat
agentCondition,,,,,,,,,,,,,,,"agentCondition.name,agentUserPaymentHistory.name,agentUserProfitSharingForm.filterPopup.name"
代理條件頁,,,,,,,,,,,,,,,agentCondition.nameDescription
代理條件,代理条件,Proxy condition,สภาพพร็อกซี,11,15,プロキシ条件,6,4,프록시 조건,6,4,Điều kiện proxy,15,15,agentCondition.appBarTitle
入金返利,入金返利,Rebate,การคืนเงิน,10,6,リベート,4,4,할인,2,4,Hạ giá,6,6,agentCondition.rebateTitle
交易手數返利,交易手数返利,Return of the transaction hand,การกลับมาของมือธุรกรรม,22,30,トランザクションハンドの戻り,14,6,거래 손의 반환,8,6,Trả lại của tay giao dịch,25,30,agentCondition.transactionHandTitle
最低工資,最低工资,minimum wage,ค่าแรงขั้นต่ำ,13,12,最低賃金,4,4,최저 임금,5,4,lương tối thiểu,15,12,agentCondition.minimumWageTitle
規費,规费,Fees,ค่าธรรมเนียม,12,4,料金,2,2,수수료,3,2,Lệ phí,6,4,"agentCondition.FeesTitle,agentOverview.feesTitle,agentProfitList.typesFees,agentProfitSharing.feesTitle,agentUserProfitSharingFormList.headerFees,agentUsersDetail.feesTitle,agentUserProfitSharingForm.filterPopup.feesTitle"
優惠,优惠,discount,การลดราคา,9,8,割引,2,2,할인,2,2,chiết khấu,10,8,"agentCondition.discountTitle,agentOverview.discountTitle,agentProfitList.typesDiscount,agentProfitSharing.discountTitle,agentUserProfitSharingFormList.headerDiscount,agentUserProfitSharingForm.filterPopup.discountTitle"
最低工資獲得條件,最低工资获得条件,Minimum wage acquisition conditions,เงื่อนไขการรับค่าแรงขั้นต่ำ,27,35,最低賃金取得条件,8,8,최저 임금 인수 조건,11,8,Điều kiện mua lương tối thiểu,29,35,agentCondition.minimumWageConditionsTitle
交易點差及手續費範圍,交易点差及手续费范围,Poor transaction point and the range of fees,จุดธุรกรรมที่ไม่ดีและช่วงของค่าธรรมเนียม,40,44,取引ポイントが低く、料金の範囲,15,10,거래 지점과 수수료 범위,13,10,Điểm giao dịch kém và phạm vi phí,33,44,agentCondition.tradingSpreadsHandlingTitle
查無資料,,,,,,,,,,,,,,,"agentCondition.emptyTip,agentConditionFuturesList.emptyTip,agentPaymentDetail.emptyTip,agentTransactionSetting.emptyTip,agentUsersDetail.emptyTip,agentUserPaymentHistory.emptyTip,agentTransactionSettingSearch.emptyTip,agentFundingDetailsSearch.emptyTip,agentReferralCodeUsers.emptyTip"
agentConditionList,,,,,,,,,,,,,,,agentConditionFuturesList.name
代理條件-交易點差及手續費範圍列表,,,,,,,,,,,,,,,agentConditionFuturesList.nameDescription
品項,品项,Items,รายการ,6,5,食品,2,2,식품,2,2,vật phẩm,8,5,"agentConditionFuturesList.ItemsTitle,addAgentReferralCodePopup.itemsTitle"
點差,点差,Point difference,ความแตกต่างของจุด,17,16,ポイントの違い,7,2,포인트 차이,6,2,Điểm khác biệt,14,16,"agentConditionFuturesList.spreadTitle,agentTransactionSettingList.spreadTitle"
手續費,手续费,Handling fee,ค่าธรรมเนียมการจัดการ,21,12,手数料,3,3,수수료,3,3,Phí xử lý,9,12,"agentConditionFuturesList.handlingFeeTitle,agentTransactionSettingList.handlingFeeTitle,agentUsersDetail.handlingFeeTitle,agentFundingPositionsList.handlingFeeTitle,agentFundingPositionsDetail.handlingFeeTitle"
agentUserPaymentHistoryList,,,,,,,,,,,,,,,agentUserPaymentHistoryList.name
代理-出入金詳情列表,,,,,,,,,,,,,,,agentUserPaymentHistoryList.nameDescription
方式,方式,Way,ทาง,3,3,仕方,2,2,방법,2,2,Đường,5,3,agentUserPaymentHistoryList.methodTitle
審核失敗,,,,,,,,,,,,,,,agentUserPaymentHistoryList.auditFailed
已審核,已审核,Audited,ถูกตรวจสอบแล้ว,14,7,監査,2,3,감사,2,3,Đã kiểm toán,12,7,agentUserPaymentHistoryList.auditedSuccess
agentPaymentDetail,,,,,,,,,,,,,,,agentPaymentDetail.name
代理資金明細頁,,,,,,,,,,,,,,,agentPaymentDetail.nameDescription
資金明細,资金资金,Funds for funds,เงินทุนสำหรับเงินทุน,20,15,資金明細,4,4,자금을위한 자금,8,4,Quỹ cho tiền,12,15,"agentPaymentDetail.appBarTitle,agentFundingDetails.appBarTitle,agentFundingPositionsDetail.appBarTitle"
agentOverview,,,,,,,,,,,,,,,agentOverview.name
代理-總覽頁面,,,,,,,,,,,,,,,agentOverview.nameDescription
總覽,总览,Overall view,มุมมองโดยรวม,12,12,全体的な見解,6,2,전체보기,4,2,Nhìn tổng thể,13,12,agentOverview.appBarTitle
未領取分潤,未领取分润,Not receiving points,ไม่ได้รับคะแนน,14,20,ポイントを受信して​​いません,15,5,수신 포인트가 없습니다,12,5,Không nhận được điểm,20,20,agentOverview.unableReceiveGumTitle
取出分潤,取出分润,Take out,เอาออก,6,8,テイクアウト,6,4,테이크아웃,5,4,Đưa ra,6,8,agentOverview.takeProfitButton
請選擇日期,请选择日期,Please select the date,กรุณาเลือกวันที่,16,22,日付を選択してください,11,5,날짜를 선택하십시오,10,5,Vui lòng chọn ngày,18,22,"agentOverview.dateHint,agentProfitSharing.dateButtonHint,agentUser.filterPopup.selectDateButton,agentUserPaymentHistory.filterPopup.dateButtonHint,agentFundingDetails.filterPopup.dateButtonHint,agentUserProfitSharingForm.dateHint"
分潤概況,分润概况,Metering overview,ภาพรวมการวัด,12,17,メーターの概要,7,4,계량 개요,5,4,Tổng quan đo sáng,17,17,agentOverview.summaryOverviewTitle
總分潤,总分润,Total score,คะแนนรวม,8,11,合計点,3,3,총 점수,4,3,Tổng điểm,9,11,"agentOverview.totalGruntTitle,agentUserProfitSharingFormList.headerTotalGrunt,agentUserProfitSharingForm.filterPopup.totalGruntTitle"
交易利潤,交易利润,Transaction profit,กำไรธุรกรรม,11,18,取引利益,4,4,거래 이익,5,4,Lợi nhuận giao dịch,19,18,"agentOverview.transactionProfitTitle,agentProfitList.typesTransactionProfit,agentProfitSharing.transactionProfitTitle,agentUserProfitSharingFormList.headerTransactionProfit,agentUsersDetail.transactionProfitTitle,agentUserProfitSharingForm.filterPopup.transactionProfitTitle"
工資,工资,salary,เงินเดือน,9,6,給料,2,2,샐러리,3,2,lương,5,6,"agentOverview.salaryTitle,agentProfitList.typesSalary,agentProfitSharing.salaryTitle"
其他利潤,其他利润,Other profits,ผลกำไรอื่น ๆ,12,13,その他の利益,6,4,다른 이익,5,4,Lợi nhuận khác,14,13,"agentOverview.otherProfitsTitle,agentProfitList.typesOtherProfits,agentProfitSharing.otherProfitsTitle,agentUsersDetail.otherProfitsTitle"
用戶分潤報表,用户分润报表,User division report,รายงานแผนกผู้ใช้,16,20,ユーザー部門レポート,10,6,사용자 부문 보고서,10,6,Báo cáo bộ phận người dùng,26,20,"agentOverview.userPointsTitle,agentUserProfitSharingForm.appBarTitle"
分潤細節,分润细节,Duty details,รายละเอียดหน้าที่,17,12,義務の詳細,5,4,의무 세부 사항,8,4,Chi tiết nhiệm vụ,17,12,"agentOverview.agentProfitTitle,agentProfitSharing.appBarTitle"
agentProfitList,,,,,,,,,,,,,,,agentProfitList.name
代理-分潤細節列表,,,,,,,,,,,,,,,agentProfitList.nameDescription
全部,全部,all,ทั้งหมด,7,3,すべて,3,2,모두,2,2,tất cả các,10,3,"agentProfitList.typesAll,achievementsLevel.filter.typesAll"
agentProfitSharing,,,,,,,,,,,,,,,agentProfitSharing.name
代理-分潤細節頁,,,,,,,,,,,,,,,agentProfitSharing.nameDescription
註冊時間,注册时间,Registration time,เวลาลงทะเบียน,13,17,登録時間,4,4,등록 시간,5,4,Thời gian đăng ký,17,17,"agentProfitSharing.registrationTimeButton,agentUser.registrationTimeButton,agentUser.filterPopup.registrationTime"
總利潤,总利润,Total profit,กำไรรวม,7,12,利益総額,4,3,총 이윤,4,3,Tổng lợi nhuận,14,12,"agentProfitSharing.totalProfitTitle,agentUsersDetail.totalProfitTitle"
請選擇類型,,,,,,,,,,,,,,,"agentProfitSharing.typesButtonHint,agentUserPaymentHistory.filterPopup.typesButtonHint,agentReferralCodeUsers.typesButtonHint"
agentProfitSharingFilter,,,,,,,,,,,,,,,agentProfitSharing.filterPopup.name
代理-分潤細節-搜尋條件,,,,,,,,,,,,,,,agentProfitSharing.filterPopup.nameDescription
分潤細節篩選器,分润细节筛选器,Divide the details of the filter,หารรายละเอียดของตัวกรอง,23,32,フィルターの詳細を分割します,14,7,필터의 세부 사항을 나눕니다,15,7,Chia các chi tiết của bộ lọc,28,32,agentProfitSharing.filterPopup.title
清除,清除,Remove,ลบ,2,6,削除する,4,2,제거하다,4,2,Tẩy,3,6,"agentProfitSharing.filterPopup.cleanButton,agentUser.filterPopup.cleanButton,agentUserPaymentHistory.filterPopup.cleanButton,agentFundingDetails.filterPopup.cleanButton,agentUserProfitSharingForm.filterPopup.cleanButton"
篩選,筛选,filter,กรอง,4,6,フィルター,5,2,필터,2,2,lọc,3,6,"agentProfitSharing.filterPopup.filterButton,agentUser.filterPopup.filterButton,agentTransactionSetting.filterTitle,agentUserPaymentHistory.filterPopup.filterButton,agentFundingDetails.filterPopup.filterButton,agentUserProfitSharingForm.filterPopup.filterButton"
分潤,分润,Divide,หาร,3,6,分ける,3,2,나누다,3,2,Chia,4,6,agentProfitSharing.filterPopup.profitTitle
用戶,用户,user,ผู้ใช้,6,4,ユーザー,4,2,사용자,3,2,người dùng,10,4,"agentProfitSharing.filterPopup.userTitle,agentUserProfitSharingFormList.headerUser"
請選擇用戶,请选择用户,Please choose a user,โปรดเลือกผู้ใช้,15,20,ユーザーを選択してください,13,5,사용자를 선택하십시오,11,5,Vui lòng chọn người dùng,24,20,agentProfitSharing.filterPopup.selectUserButtonHint
請選擇商品,请选择商品,Please select the product,โปรดเลือกผลิตภัณฑ์,18,25,製品を選択してください,11,5,제품을 선택하십시오,10,5,Vui lòng chọn sản phẩm,22,25,"agentProfitSharing.filterPopup.selectItemsButtonHint,agentTransactionSetting.filterItemsButtonHint"
agentUserSearch,,,,,,,,,,,,,,,"agentProfitSharingSearch.name,agentUserSearch.name"
